!	0-59	60-66	67-73	74-79
!	!	!	!	!
!	5.20	7.80	10.40	13.00
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	1.500	1.500	1.500	1.500
!	26.203	26.203	26.203	26.203
!	50.0	50.0	50.0	50.0
!	4.999	4.999	4.999	4.999
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.007	0.007	0.007	0.007
!	!	!	!	!
!	10.998	10.998	10.998	10.998
!	7.8	7.8	7.8	7.8
!	2.060	2.060	2.060	2.060
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.356	0.356	0.356	0.356
!	5.320	5.320	5.320	5.320
!	!	!	!	!
!	!	!	!	!
!	0.1	0.1	0.1	0.1
!	0.010	0.010	0.010	0.010
!	4.709	4.709	4.709	4.709
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	20.0	20.0	20.0	20.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
