!	0-35	36-41	42-47	48-53	54-59	60-65	66-71	72-77	78-83	84-127
!	!	!	!	!	!	!	!	!	!	!
!	13.00	13.00	13.00	12.20	11.00	11.00	11.00	11.00	11.00	11.00
!	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
!	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006
!	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500
!	39.993	39.993	39.993	39.993	39.993	39.993	39.993	39.993	39.993	39.993
!	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.469	5.469	5.469	5.469	5.469	5.469	5.469	5.469	5.469	5.469
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.469	5.469	5.469	5.469	5.469	5.469	5.469	5.469	5.469	5.469
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
!	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
