!	0-66	0-66	0-96	67-96	67-96
!	!	!	!	!	!
5.08	10.00	12.00	3.00	!	8.08
!	24.0	-23.2	!	24.0	-23.2
!	1	1	1	1	1
?	?	?	?	?	?
!	60	60	60	60	60
!	-16	-21	-33	-22	-13
!	-81	-78	-96	30	30
!	!	!	!	!	!
!	!	!	3524	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.006	!	!	0.008	!	!
0.001	!	!	!	!	!
0.001	3.531	3.531	32.767	3.531	3.531
100.0	!	!	100.0	!	!
!	2.080	2.080	5.779	2.080	2.080
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.006	0.001	0.001	0.001	0.001	0.001
!	!	!	!	!	!
!	!	!	!	!	!
100.0	0.0	0.0	!	0.0	0.0
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
5.379	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.001	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
12.5	39.2	39.2	39.2	39.2	39.2
25.0	31.3	31.3	!	31.3	31.3
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
