!	0-108	0-108	0-108
!	!	!	!
!	8.08	8.08	8.08
!	26.4	-24.7	!
!	1	1	1
?	?	?	?
!	60	60	60
!	-25	-34	-24
!	-25	0	0
!	!	!	!
!	102	102	105
!	!	14.2	19.0
!	!	!	!
!	0.958	0.958	0.958
!	0.001	0.001	0.001
!	0.001	0.001	0.001
!	0.0	0.0	0.0
!	5.938	5.938	5.938
!	!	!	!
!	!	!	!
!	!	!	!
!	0.006	0.006	0.006
!	!	!	!
!	!	!	!
!	0.0	0.0	0.0
!	5.938	5.938	5.938
!	!	!	!
!	5062	3600	2025
!	!	!	!
!	!	!	!
!	!	!	!
!	5.379	5.379	5.379
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	0.001	0.001	0.001
!	!	!	!
!	!	!	!
!	15.6	15.6	39.2
!	10.9	10.9	10.9
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
