!	!	!	!	!	!
!	0-56	57-72	73-89	90-108	109-127
!	!	!	!	!	!
!	!	!	!	!	!
!	0	0	0	0	0
?	?	?	?	?	?
!	60	60	60	60	60
!	!	!	!	!	!
!	!	!	!	!	!
0	!	!	!	!	!
!	2000	1100	1500	2075	2751
!	!	!	!	!	!
!	!	!	!	!	!
!	0.008	0.006	0.006	0.006	0.006
!	!	!	!	!	!
1.000	!	!	!	!	!
!	!	!	!	!	!
1.000	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	0	0	0	0	0
!	0	0	0	0	0
