!	12-43	12-43	44-61	44-61	62-80	62-80	81-107	81-107
!	!	!	!	!	!	!	!	!
9.60	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?
!	60	60	60	60	60	60	60	60
!	-21	16	-21	16	-21	-21	-21	-21
!	4	5	3	7	-2	2	-1	1
!	!	!	!	!	!	!	!	!
!	!	3182	!	2683	!	!	4789	4789
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
0.006	!	!	!	!	!	!	!	!
0.001	!	!	!	!	!	!	!	!
0.001	!	!	!	!	!	!	!	!
100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
!	0.350	0.350	0.350	0.350	0.350	0.350	0.350	0.350
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
0.006	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	0.070	!	0.070	!	!	0.070	!	0.070
100.0	!	!	!	!	!	!	!	!
!	0.070	!	0.070	!	!	0.070	!	0.070
!	-524	375	-262	281	94	-130	47	-65
!	!	1125	!	562	1125	!	225	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
5.379	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
0.001	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
3.1	!	!	!	!	!	!	!	!
3.1	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
