!	0-35	0-35	0-35	0-35	0-35	0-35	0-35	0-35	36-50	36-50	36-50	36-50	36-50	36-50	36-50	36-50	51-65	51-65	51-65	51-65	51-65	51-65	51-65	51-65	66-80	66-80	66-80	66-80	66-80	66-80	66-80	66-80	81-87	81-87	81-87	81-87	81-87	81-87	81-87	81-87	88-127	88-127	88-127	88-127	88-127	88-127	88-127	88-127
!	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127
!	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	!	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	!	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	!	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	!	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	!	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1.800	0.450	0.500	0.550	0.600	0.600	0.600	0.600	2.000	0.480	0.520	0.560	0.600	0.600	0.600	0.600	2.000	0.510	0.540	0.570	0.600	0.600	0.600	0.600	2.200	0.540	0.560	0.580	0.600	0.600	0.600	0.600	2.289	0.570	0.580	0.590	0.600	0.600	0.600	0.600	2.500	0.600	0.600	0.600	0.600	0.600	0.600	0.600
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
1.500	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.650	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
