!	0-29	0-35	0-35	0-35	0-29	0-35	0-29	0-35	0-29	0-35	0-35	0-29	0-35	30-127	30-127	30-127	30-127	30-127	36-50	36-50	36-50	36-50	36-50	36-50	36-50	36-50	51-65	51-65	51-65	51-65	51-65	51-65	51-65	51-65	66-80	66-80	66-80	66-80	66-80	66-80	66-80	66-80	81-88	81-88	81-88	81-88	81-88	81-88	81-88	81-88	89-127	89-127	89-127	89-127	89-127	89-127	89-127	89-127
!	0-64	0-48	49-62	63-74	65-81	75-86	82-96	87-96	97-112	97-107	108-117	113-127	118-127	0-64	65-81	82-96	97-112	113-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127	0-48	49-62	63-74	75-86	87-96	97-107	108-117	118-127
2.80	-2.80	-1.20	-0.40	0.00	-2.40	0.40	-2.00	0.80	-1.60	1.20	1.60	-1.20	2.00	-2.80	-2.40	-2.00	-1.60	-1.20	-1.20	-0.40	0.00	0.40	0.80	1.20	1.60	2.00	-1.20	-0.40	0.00	0.40	0.80	1.20	1.60	2.00	-1.20	-0.40	0.00	0.40	0.80	1.20	1.60	2.00	-1.20	-0.40	0.00	0.40	0.80	1.20	1.60	2.00	-1.20	-0.40	0.00	0.40	0.80	1.20	1.60	2.00
5.0	-5.0	!	!	!	-5.0	!	-5.0	!	-5.0	!	!	-5.0	!	-5.0	-5.0	-5.0	-5.0	-5.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
-5	-10	!	!	!	-10	!	-10	!	-10	!	!	-10	!	3	3	3	3	3	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	-10	-10	-10	-10	-10	-10	-10	-10	-15	-15	-15	-15	-15	-15	-15	-15
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2.000	1.550	0.450	0.500	0.100	0.550	0.150	0.600	0.230	0.600	0.600	!	0.600	2.000	0.100	0.150	0.230	!	1.700	0.480	0.520	0.560	0.600	0.600	0.600	0.600	1.850	0.510	0.540	0.570	0.600	0.600	0.600	0.600	2.000	0.540	0.560	0.580	0.600	0.600	0.600	0.600	2.150	0.570	0.580	0.590	0.600	0.600	0.600	0.600	2.289	0.600	0.600	0.600	0.600	0.600	0.600	0.600
2.0	6.0	4.0	!	!	4.0	!	!	!	!	!	!	!	!	6.0	4.0	!	!	!	4.0	!	!	!	!	!	!	!	4.0	!	!	!	!	!	!	!	4.0	!	!	!	!	!	!	!	6.0	4.0	!	!	!	!	!	!	8.0	5.0	2.5	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	1.000	1.000	!	!	0.010	!	0.010	!	0.010	!	!	0.010	!	1.000	0.010	0.010	0.010	0.010	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
1.500	1.000	!	!	!	1.000	!	1.000	!	1.000	!	!	1.000	!	1.000	1.000	1.000	1.000	1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.650	1.000	!	0.660	0.680	1.000	0.700	1.000	0.720	1.000	0.740	0.760	1.000	0.790	1.000	1.000	1.000	1.000	1.000	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	4.000	3.800	3.500	!	3.000	!	2.500	!	2.500	2.500	!	2.500	!	!	!	!	!	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	0.500	0.500	0.500	!	0.500	!	0.500	!	0.500	0.500	!	0.500	!	!	!	!	!	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0	750	1200	1700	0	2200	0	2800	!	3500	4500	!	7000	0	0	0	!	!	750	1200	1700	2200	2800	3500	4500	7000	750	1200	1700	2200	2800	3500	4500	7000	750	1200	1700	2200	2800	3500	4500	7000	750	1200	1700	2200	2700	3000	3300	3500	750	1200	1700	2200	2800	3500	4500	7000
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	68	68	68	!	68	!	68	!	68	68	!	68	!	!	!	!	!	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
100.021	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.610	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.610	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
3.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
