!	0-68	!	!	!	!	!	!	!	69-74	75-127
!	!	0-40	41-56	57-73	74-89	90-104	105-118	119-127	!	!
!	1.20	2.40	3.20	4.00	4.80	4.80	4.80	4.80	1.20	1.20
-10.0	10.0	!	!	!	!	!	!	!	10.0	10.0
!	!	!	!	!	!	!	!	!	!	!
-5	5	!	!	!	!	!	!	!	5	5
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	0.650	0.550
!	0.0	!	!	!	!	!	!	!	0.0	0.0
!	!	!	!	!	!	!	!	!	!	!
!	!	9.998	9.998	9.998	4.000	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	8.000	8.000	8.000	8.000	12.000	12.000	12.000	!	!
!	!	-20.0	-20.0	-20.0	-20.0	-24.0	-24.0	-24.0	!	!
!	0.550	!	!	!	!	!	!	!	0.550	0.550
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	6.000	4.999	4.000	3.000	4.999	4.999	4.999	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	5000	5000	5000	8000	500	1000	1500	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	0.600	!	!	!	!	!	!	!	0.600	0.600
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	0.600	!	!	!	!	!	!	!	0.600	0.600
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	0.0	0.0	0.0	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
