!	0-99	0-99	0-99	0-99	100-127
!	0-68	69-87	88-107	108-127	!
0.80	!	!	!	!	3.20
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	7
!	!	!	!	!	!
!	0.030	0.050	0.070	0.090	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
21.996	!	!	!	!	!
6.0	!	!	!	!	!
!	0.500	0.500	0.500	0.500	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	!
!	81.572	7.098	0.010	0.010	!
!	0.010	0.010	0.010	0.010	!
!	3.000	2.000	1.430	0.900	!
!	100.0	100.0	100.0	100.0	!
0.010	!	!	!	!	!
!	!	!	!	!	!
!	1500	1500	2000	7200	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.400	!	!	!	!	!
0.700	1.500	1.500	1.500	1.500	!
10	!	!	!	!	!
!	!	!	!	!	!
7.0	!	!	!	!	!
