!	0-51	0-57	52-66	58-71	67-127	72-86	87-127
!	!	!	!	!	!	!	!
22.00	2.80	!	2.80	!	2.80	!	!
!	!	!	!	!	!	!	!
!	!	31	!	19	!	7	-5
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.390	100.021	0.390	100.021	0.420	100.021	100.021
!	5.0	!	5.0	!	5.0	!	!
!	0.010	!	0.010	!	0.010	!	!
!	0.250	7.808	0.250	7.808	0.250	7.808	7.808
!	0.010	!	0.010	!	0.010	!	!
!	0.010	!	0.010	!	0.010	!	!
!	!	-13.0	!	-13.0	!	-13.0	-13.0
!	28.377	3.000	28.377	3.000	28.377	3.000	3.000
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.010	!	0.010	!	0.010	!	!
!	0.010	!	0.010	!	0.010	!	!
!	0.010	!	0.010	!	0.010	!	!
!	41.141	!	41.141	!	41.141	!	!
!	40.0	!	40.0	!	40.0	!	!
!	100.021	!	100.021	!	100.021	!	!
!	!	!	!	!	!	!	!
!	3000	7200	3400	7200	3830	7200	7200
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.010	!	0.010	!	0.010	!	!
!	0.500	!	0.500	!	0.500	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.500	!	0.500	!	0.500	!	!
!	!	!	!	!	!	!	!
5.0	7.0	!	7.0	!	7.0	!	!
21.0	!	50.0	!	50.0	!	50.0	50.0
