!	!	!	!	!	!	!
!	0-75	0-75	76-103	76-103	104-127	104-127
8.80	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	-6	6	-6	6	-6	6
!	!	!	!	!	!	!
!	0.170	0.300	0.200	0.350	0.230	!
!	!	5.2	!	5.2	!	5.2
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.300	!	!	!	!	!	!
96.0	!	!	!	!	!	!
0.300	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	1.430	!	1.430	!	1.430
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	100.0	!	100.0	!	100.0	!
!	!	0.010	!	0.010	!	0.010
!	0	!	!	!	!	!
!	!	-2604	!	-2604	!	-2604
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.720	!	0.840	!	0.840	!	0.840
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
21.0	!	!	!	!	!	!
!	!	!	!	!	!	!
