!	!	0-35	!	0-35	!	0-35	!	0-35	!	!	0-35	!	0-35	!	0-35	!	0-35	!	36-50	36-50	36-50	36-50	36-50	36-50	36-50	36-50	51-65	51-65	51-65	51-65	51-65	51-65	51-65	51-65	66-80	66-80	66-80	66-80	66-80	66-80	66-80	66-80	81-87	81-87	81-87	81-87	81-87	81-87	81-87	81-87	88-127	88-127	88-127	88-127	88-127	88-127	88-127	88-127
!	0-45	0-49	46-58	50-65	59-70	66-79	71-82	80-91	83-91	92-98	92-101	99-106	102-110	107-113	111-119	114-120	120-127	121-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127
!	16.40	-3.20	14.40	-2.40	12.80	-2.00	10.80	-1.60	9.20	7.20	-1.20	5.60	-0.80	3.60	-0.40	2.00	0.00	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00
!	12.0	!	12.0	!	12.0	!	12.0	!	12.0	12.0	!	12.0	!	12.0	!	12.0	!	12.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7	!	7	!	7	!	7	!	7	7	!	7	!	7	!	7	!	7	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	39.993	1.550	39.993	0.450	39.993	0.500	39.993	0.550	39.993	39.993	0.600	39.993	0.600	39.993	0.600	39.993	0.600	39.993	1.700	0.480	0.520	0.560	0.600	0.600	0.600	0.600	1.850	0.510	0.540	0.570	0.600	0.600	0.600	0.600	2.000	0.540	0.560	0.580	0.600	0.600	0.600	0.600	2.150	0.570	0.580	0.590	0.600	0.600	0.600	0.600	2.289	0.600	0.600	0.600	0.600	0.600	0.600	0.600
!	!	2.0	!	1.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	2.0	1.0	!	!	!	!	!	!	2.0	1.0	!	!	!	!	!	!	2.0	1.0	!	!	!	!	!	!	3.0	2.0	1.0	!	!	!	!	!	4.0	2.5	1.2	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!
1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
1.650	1.000	!	1.000	!	1.000	!	1.000	!	1.000	1.000	!	1.000	!	1.000	!	1.000	!	1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
96.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.500	!	0.650	!	0.660	!	0.680	!	0.700	!	!	0.720	!	0.740	!	0.760	!	0.790	!	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	0.650	0.650	0.650	0.650	0.650	0.650	0.650	0.650
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
