!	0-63	53-73	53-73	53-73	53-73	64-94	64-94	64-94	74-89	90-127
!	!	0-58	59-76	77-93	94-127	0-53	54-74	75-127	!	!
2.00	2.80	6.00	6.00	6.00	6.00	1.20	1.20	1.20	0.00	1.20
!	-25.0	25.0	25.0	25.0	25.0	-25.0	-25.0	-25.0	25.0	25.0
!	!	!	!	!	!	!	!	!	!	!
!	-3	!	!	!	!	!	!	!	5	7
!	!	!	!	!	!	!	!	!	!	!
!	!	0.450	0.450	0.450	0.450	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	6.000	10.998	7.001	4.000	2.000	9.000	6.000	3.000	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	9.998	!
!	!	!	!	!	!	!	!	!	2.0	!
!	!	!	!	!	!	!	!	!	0.500	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	0.500	0.550	0.550	0.550	0.550	0.600	0.600	0.600	0.600	0.600
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	0.500	0.500	0.500	0.500	!	!	!	!	!
!	0.500	0.550	0.550	0.550	0.550	0.600	0.600	0.600	!	!
!	12	5	5	5	5	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
21.0	!	!	!	!	!	!	!	!	!	!
