!	0-32	33-44	45-56	57-68	69-80	81-92	93-108
!	!	!	!	!	!	!	!
5.60	!	!	!	!	6.80	7.20	8.00
!	-15.0	-10.0	-5.0	!	5.0	10.0	15.0
!	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
200	75	125	200	250	375	550	725
6.0	!	!	!	!	5.0	!	7.0
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
0.100	!	!	!	!	!	!	!
1.000	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
1.000	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
0.100	!	!	!	!	!	!	!
1.000	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
1.000	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
0.100	!	!	!	!	!	!	!
5.001	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
0.100	!	!	!	!	!	!	!
5.001	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	0	0	!	!	!
!	!	!	0	0	!	!	!
