!	0-33	34-50	51-57	58-66	67-76	77-81	82-88	89-100	101-127
!	!	!	!	!	!	!	!	!	!
8.88	!	!	!	!	!	10.88	!	4.04	2.40
!	-20.0	-15.0	-10.0	-5.0	5.0	10.0	15.0	20.0	25.0
!	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?
!	60	60	60	60	60	60	60	60	60
!	-15	-15	-20	-16	-22	-28	-45	-51	-51
!	-35	-35	-84	-89	-90	-90	-64	-40	-30
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.008	!	!	!	!	!	!	!	!	!
0.001	!	!	!	!	!	!	!	!	!
0.001	40.364	40.364	40.998	34.495	36.716	9.998	14.412	5.284	2.112
100.0	!	!	!	!	!	!	!	!	!
!	1.500	1.200	1.000	0.918	0.918	0.918	0.918	5.284	2.112
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
100.0	!	!	!	!	!	!	!	!	0.0
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
