!	40	40	40	40	40
!	!	0-62	63-84	85-106	107-127
!	12.40	!	!	!	!
4.0	-8.0	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	40	38	38	38	38
-2	4	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	10002	2854	3999	6150	!
!	!	!	2.0	!	!
!	!	!	!	!	!
!	0.008	0.006	!	!	!
!	!	!	!	!	!
!	6.000	2.500	4.000	6.000	!
!	100.0	96.0	96.0	96.0	!
!	6.000	2.500	4.000	6.000	48.279
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
