!	!	!	!	!	!	!	!	!	!
!	0-50	0-75	51-69	70-86	76-91	87-106	92-108	107-127	109-127
2.80	!	6.00	!	!	4.00	!	2.00	!	0.00
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	0	!	!	0	!	0	!	0
!	!	!	!	!	!	!	!	!	!
!	0.200	6.000	0.300	0.500	4.000	1.000	4.999	2.000	7.098
!	!	!	!	!	5.0	!	10.0	!	96.0
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	0.010	!	0.010	!	0.010
!	!	!	!	!	!	!	!	!	!
!	!	0.100	!	!	0.100	!	0.100	!	0.100
!	96.0	!	96.0	96.0	!	96.0	!	96.0	!
!	1.500	0.200	1.500	1.500	0.200	1.500	0.200	1.500	0.200
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	0.100	!	!	0.100	!	0.100	!	0.100
!	!	-100.0	!	!	-100.0	!	-100.0	!	-100.0
!	!	100.021	!	!	100.021	!	100.021	!	100.021
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	68	!	!	68	!	68	!	68
!	100.021	!	100.021	100.021	!	100.021	!	100.021	!
0.610	0.610	!	0.610	0.610	!	0.610	!	0.610	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
0.610	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
7.0	!	!	!	!	!	!	!	!	!
3.0	!	!	!	!	!	!	!	!	!
