!	!	!	!	!	!	!
!	!	0-61	62-76	77-91	92-105	106-127
1.20	10.40	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	100.021	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	!	!	!	!	!
!	0.200	!	!	!	!	!
!	0.010	!	!	!	!	!
!	8.000	!	!	!	!	!
!	100.0	!	!	!	!	!
!	0.500	!	!	!	!	!
!	!	!	!	!	!	!
!	84	!	!	!	!	!
!	0.010	!	!	!	!	!
!	0.010	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	1800	2600	3400	4200	5000
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
5.0	!	!	!	!	!	!
3.0	!	!	!	!	!	!
