!	!	!	!	!	!	85-127
!	0-68	69-83	84-97	98-112	113-127	!
!	!	!	!	!	!	8.00
!	!	!	!	!	!	!
12	!	!	!	!	!	0
5	!	!	!	!	!	3
!	!	!	!	!	!	!
!	!	!	!	!	!	2.140
!	!	!	!	!	!	!
!	!	!	!	!	!	0.010
!	!	!	!	!	!	0.010
!	!	!	!	!	!	0.010
0.700	!	!	!	!	!	4.000
!	!	!	!	!	!	100.0
0.200	!	!	!	!	!	0.200
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	0.010
!	!	!	!	!	!	0.010
!	!	!	!	!	!	0.010
0.670	!	!	!	!	!	0.030
!	!	!	!	!	!	85.8
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	1500	2000	2500	3000	4000	2500
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.600	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.600	!	!	!	!	!	!
!	!	!	!	!	!	!
5.0	!	!	!	!	!	!
3.0	!	!	!	!	!	!
