!	!	!	!	!	!	!	!	!	!	!
!	0-66	0-61	62-77	67-82	78-93	83-97	94-108	98-112	109-127	113-127
9.20	!	!	!	!	!	!	!	!	!	!
!	-15.0	15.0	15.0	-15.0	15.0	-15.0	15.0	-15.0	15.0	-15.0
!	!	!	!	!	!	!	!	!	!	!
!	-3	3	3	-3	3	-3	3	-3	3	-3
!	!	!	!	!	!	!	!	!	!	!
0.980	!	1.750	1.750	!	1.750	!	1.750	!	1.750	!
4.8	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
22.706	!	!	!	!	!	!	!	!	!	!
100.0	!	!	!	!	!	!	!	!	!	!
0.500	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
0.200	!	0.150	0.150	!	0.150	!	0.150	!	0.150	!
83.0	!	!	!	!	!	!	!	!	!	!
0.500	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
5957	2800	1800	2600	3600	3400	4400	4200	5200	5000	6000
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
7.0	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
