!	0-72	0-72	0-72	0-72	0-72	0-72	0-72	0-72	0-72	0-72	73-127	73-96	73-127	73-96	73-127	73-96	73-127	73-96	73-127	73-96
!	0-56	0-61	57-76	62-78	77-92	79-95	93-108	96-111	109-127	112-127	0-56	0-61	57-76	62-78	77-92	79-95	93-108	96-111	109-127	112-127
!	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00	12.00	2.00
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
1	-3	!	-3	!	-3	!	-3	!	-3	!	-3	!	-3	!	-3	!	-3	!	-3	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.600	0.240	0.600	0.280	0.600	0.320	0.600	0.360	0.600	0.400	0.550	0.240	0.550	0.280	0.550	0.320	0.550	0.360	0.550	0.400
3.0	2.7	!	2.7	!	2.7	!	2.7	!	2.7	!	2.7	!	2.7	!	2.7	!	2.7	!	2.7	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098	0.010	7.098
!	!	-96.0	!	-96.0	!	-96.0	!	-96.0	!	-96.0	!	-96.0	!	-96.0	!	-96.0	!	-96.0	!	-96.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
13.478	9.000	!	9.000	!	9.000	!	9.000	!	9.000	!	6.000	!	6.000	!	6.000	!	6.000	!	6.000	!
!	100.0	70.0	100.0	70.0	100.0	70.0	100.0	70.0	100.0	70.0	100.0	55.0	100.0	55.0	100.0	55.0	100.0	55.0	100.0	55.0
!	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021	0.010	100.021
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2750	4300	3250	4600	3750	4900	4250	5200	5000	5566	2750	4300	3250	4600	3750	4900	4250	5200	5000	5566
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
100.021	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.700	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.770	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
14.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
3.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
