!	0-29	30-32	33-35	36-39	40-41	42-45	46-49	50-52	53-55	56-84
!	!	!	!	!	!	!	!	!	!	!
2.40	2.80	2.80	2.84	2.04	2.64	2.64	0.52	1.60	1.00	2.16
!	!	!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?
!	29	32	35	38	41	44	47	50	53	59
!	!	!	!	!	!	0	!	!	!	!
!	3	7	4	2	1	3	-4	6	6	-5
!	!	!	!	!	!	100	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
1.500	!	!	!	!	!	!	!	!	!	!
!	50.011	48.001	45.993	43.992	42.005	39.993	38.011	36.002	34.001	32.000
30.0	!	!	!	!	!	!	!	!	!	!
0.230	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
1.500	!	!	!	!	!	!	!	!	!	!
4.500	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
2.000	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
-6500	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
5.001	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?
!	0	!	0	0	0	0	0	0	0	0
!	0	!	0	0	0	0	0	0	0	0
