!	0-61	0-61	62-66	62-68	67-75	69-73	74-84	76-83	84-89	85-92	90-96	93-99	97-108	100-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.20	4.48	4.48	4.48	4.20	4.48	4.48	4.20	4.20	4.48	3.88	3.88	3.88	4.20
!	3.0	-13.0	3.0	-13.0	3.0	-13.0	-13.0	3.0	3.0	-13.0	3.0	-13.0	3.0	-13.0
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	68	67	73	75	78	75	87	78	78	87	104	106	104	106
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	-1	-9	16	-14	16	16	-14	-14	16	-32	4	-32	4
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	303	303	283	303	303	303	303	303	303	303	303	303	303	303
!	2.7	!	2.4	!	2.7	!	!	2.7	2.7	!	2.7	!	2.7	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.466	0.485	0.466	0.466	0.466	0.466	0.466	0.466	0.449	0.466	0.449	0.466	0.432	0.466
!	0.230	0.414	0.230	0.230	0.230	0.230	0.230	0.230	0.230	0.230	0.230	0.230	0.230	0.230
!	19.790	19.790	13.857	19.790	13.857	19.790	19.790	13.857	13.857	19.790	13.857	19.790	10.685	19.790
!	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
!	2.570	3.525	2.570	3.525	2.570	3.525	3.525	2.570	2.570	3.525	2.570	3.525	2.570	3.525
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.015	0.264	0.015	0.264	0.015	0.195	0.264	0.013	0.015	0.264	0.015	0.264	0.015	0.264
!	!	0.414	!	0.414	!	0.414	0.414	!	!	0.414	!	0.322	!	0.322
!	3.068	3.806	3.068	3.806	3.068	3.806	4.139	3.068	3.068	3.806	3.068	3.806	3.068	3.525
!	56.9	100.0	50.6	100.0	45.4	84.2	73.7	40.1	34.9	72.7	30.7	66.4	30.7	61.1
!	3.806	4.139	3.806	4.139	3.806	4.139	4.139	3.806	3.806	3.068	3.806	4.139	3.806	3.806
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5175	2700	5175	2700	5175	2700	2700	5175	5175	2700	5175	2700	5175	2700
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210	5.210
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	12.5	!	12.5	!	12.5	!	!	12.5	12.5	!	12.5	!	12.5	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
