!	0-83	84-98	99-106	107-127
!	!	!	!	!
4.92	!	!	6.00	7.20
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	72	96	96	96
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
0.008	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
0.100	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
5.177	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	6141	8051	8051	8051
!	-14	0	0	0
