!	0-57	58-75	76-86	87-97	98-102	103-108
!	!	!	!	!	!	!
!	7.68	1.40	1.40	2.28	2.00	8.88
!	!	!	!	!	!	!
!	1	1	1	1	1	1
?	?	?	?	?	?	?
!	!	79	79	106	106	109
!	!	!	!	!	!	!
!	!	23	24	29	29	13
!	!	!	!	!	!	!
!	2970	2511	2590	2511	2511	2590
!	!	!	!	!	!	6.9
!	!	!	!	!	!	!
!	0.013	0.016	0.013	0.015	0.015	0.013
!	0.598	!	!	0.506	0.506	0.506
!	4.529	0.360	0.360	7.349	7.349	5.011
!	1.3	1.3	2.3	1.3	1.3	1.3
!	0.390	0.390	0.390	0.485	0.485	0.553
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	!	!	!	!	!
!	!	!	!	!	!	!
!	0.506	3.811	3.521	3.521	3.279	0.233
!	40.1	61.1	56.9	63.2	59.0	!
!	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!
!	2587	1237	1237	1237	1125	1350
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	0.840	3.450	3.450	3.450	3.450	5.379
!	!	!	!	!	!	!
!	25	168	168	168	168	112
!	-0.8	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	0.840	3.450	3.450	3.450	3.450	5.379
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
