!	0-35	36-44	45-49	50-54	55-58	59-63	64-68	69-74	75-85	86-93	94-96	97-108
!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.80	4.80	4.80	4.80	4.80	4.20	4.80	4.80	3.76	3.64	5.04	3.76
!	!	!	!	!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?
!	52	52	!	!	!	!	!	!	88	88	109	109
!	!	!	!	!	!	!	!	!	!	!	!	!
!	-2	-2	!	!	!	!	!	!	-21	-21	12	12
!	!	!	!	!	!	!	!	!	!	!	!	!
!	472	579	472	472	472	472	472	472	472	472	472	472
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.414	0.322	0.322	0.230	0.230	0.230	0.230	0.138	!	0.138	0.138	0.138
!	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198
!	!	3.4	!	!	!	!	!	!	!	!	!	2.3
!	0.242	0.242	0.242	0.242	0.242	0.242	0.242	0.242	0.242	0.242	0.242	0.242
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	0.690	0.322	0.230	0.230	0.230	0.138	0.138	0.138	0.138	0.138	0.138
!	8.709	8.709	8.709	8.709	8.709	8.709	8.709	8.709	8.709	8.709	8.709	6.361
!	100.0	98.9	100.0	98.9	93.7	91.6	89.5	87.4	85.3	83.2	82.1	80.0
!	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!	!	!	!	!	!
!	4050	4050	4050	4050	4050	4050	3937	4050	4050	4050	4050	4050
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
