!	0-38	39-47	48-59	60-71	72-89	90-108
!	!	!	!	!	!	!
!	!	0.12	0.12	0.12	0.12	0.12
!	!	!	!	!	!	!
!	1	1	1	1	1	1
?	?	?	?	?	?	?
!	!	53	53	53	!	!
!	!	!	!	!	!	!
!	!	-7	-7	-7	!	!
!	!	!	!	!	!	!
!	579	579	579	579	579	579
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.138	0.138	0.138	0.138	0.138	0.138
!	19.801	10.697	8.709	7.349	5.611	5.011
!	33.8	33.8	33.8	33.8	33.8	33.8
!	0.152	0.152	0.152	0.152	0.152	0.152
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.532	0.485	0.485	0.506	0.449	0.432
!	63.2	63.2	63.2	63.2	63.2	63.2
!	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!
!	4162	4162	3825	3712	3712	3600
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	3.5	3.5	3.5	3.5	3.5	3.5
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
