!	0-33	34-42	43-54	55-59	60-65	66-74	75-83	84-98	99-108
!	!	!	!	!	!	!	!	!	!
!	1.20	1.20	1.20	1.20	1.20	1.20	1.20	1.20	1.20
!	!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?
!	40	40	52	64	64	74	74	94	109
!	!	!	!	!	!	!	!	!	!
!	2	2	5	5	5	13	13	-45	13
!	!	!	!	!	!	!	!	!	!
!	134	134	134	134	134	134	134	134	134
!	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068
!	5.011	4.529	4.141	3.521	3.070	2.570	2.110	1.730	1.610
!	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8
!	0.181	0.181	0.181	0.181	0.181	0.181	0.181	0.181	0.181
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	0.340	0.322	0.305	0.290	0.290	0.277	0.277	0.264	0.253
!	96.8	95.8	94.7	93.7	92.6	90.5	88.4	86.3	83.2
!	0.189	0.181	0.181	0.170	0.170	0.170	0.170	0.161	0.145
!	!	!	!	!	!	!	!	!	!
!	6300	6300	6300	6300	6300	6187	6187	6187	6187
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	3.1	3.1	3.1	3.1	3.1	3.1	3.1	3.1	3.1
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
