!	0-39	40-45	46-50	51-54	55-57	58-60	61-65	66-127
!	!	!	!	!	!	!	!	!
3.20	2.60	3.60	!	!	4.00	!	!	!
!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?
!	43	43	48	53	56	59	64	69
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
100.021	!	!	!	!	!	!	!	!
100.0	!	!	!	!	!	!	!	!
0.400	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
1.161	!	!	!	!	!	!	!	!
100.021	!	!	!	!	!	!	!	!
9.998	!	!	!	!	!	!	!	!
100.021	!	!	!	!	!	!	!	!
0.0	!	!	!	!	!	!	!	!
100.021	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
-2500	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
5.001	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
1.0	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	19431	19431	14745	12961	7683	7813	10836	8777
!	-135	-135	-198	-50	-41	-40	-150	-46
