!	0-49	50-56	57-61	62-66	67-71	72-75	76-78	79-82	83-87	88-91	92-95	96-108
!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.60	3.68	3.68	3.48	3.28	3.28	3.08	3.08	2.20	2.08	1.88	2.48
!	0.4	0.4	0.4	0.4	0.4	0.4	0.4	!	!	0.4	!	!
!	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?
!	70	70	70	74	79	84	89	89	95	98	109	109
!	!	!	!	!	!	!	!	!	!	!	!	!
!	-7	-7	-7	!	-4	-3	-28	-28	-21	24	13	13
!	!	!	!	!	!	!	!	!	!	!	!	!
!	965	965	965	409	599	423	599	560	560	634	581	560
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.006	0.006	0.006	0.006	0.008	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	6.361	6.361	6.361	6.361	6.361	6.361	6.361	6.361	6.361	6.361	6.361	6.361
!	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
!	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	0.006	0.006
!	!	!	!	!	!	!	!	!	!	!	!	!
!	6.361	5.611	5.611	5.611	5.611	5.611	5.611	5.611	5.611	5.611	5.611	5.611
!	25.4	21.2	17.0	12.8	8.6	3.4	!	!	!	!	!	!
!	0.449	0.449	0.449	0.449	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!	!	!	!	!	!
!	4275	4275	4275	4275	4275	4275	4275	3712	4275	4162	4387	4162
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.261	0.261	0.261	0.261	0.261	0.261	0.261	0.261	0.261	0.261	0.261	0.261
!	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391
!	10	10	10	10	10	10	10	10	10	10	10	10
!	!	-25	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.712	5.712	5.712	5.712	5.712	5.712	5.712	5.712	5.712	5.712	5.712	5.712
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
