!	0-58	59-64	65-96	97-102	103-108
!	!	!	!	!	!
!	0.60	0.40	0.68	!	!
!	0.4	0.4	!	0.4	0.4
!	1	1	1	1	1
?	?	?	?	?	?
!	!	!	!	106	106
!	!	!	!	!	!
!	!	!	!	29	29
!	!	!	!	!	!
!	3180	3180	2970	2909	2909
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.138	0.138	0.138	!	!
!	6.551	5.670	4.469	3.140	2.570
!	100.0	100.0	100.0	100.0	100.0
!	2.930	2.690	2.320	1.920	1.640
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	0.138	!	!
!	0.506	0.485	0.408	0.347	0.339
!	100.0	85.3	100.0	69.6	62.0
!	1.060	1.010	0.970	0.970	0.932
!	!	!	!	!	!
!	1125	1125	1150	1137	1137
!	!	!	!	!	!
!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
