!	0-61	62-66	67-75	76-83	84-87	88-96	97-108
!	!	!	!	!	!	!	!
!	4.20	4.48	4.20	4.20	4.20	3.28	3.88
!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?
!	70	75	80	80	80	107	107
!	!	!	!	!	!	!	!
!	29	30	32	32	32	-21	-21
!	!	!	!	!	!	!	!
!	303	283	303	303	303	303	303
!	2.7	2.4	2.7	2.7	2.7	2.7	2.7
!	!	!	!	!	!	!	!
!	0.466	0.466	0.466	0.466	0.449	0.449	0.432
!	0.230	0.230	0.230	0.230	0.230	0.230	0.230
!	19.801	13.897	13.897	13.897	13.897	13.897	10.697
!	100.0	100.0	100.0	100.0	100.0	100.0	100.0
!	2.570	2.570	2.570	2.570	2.570	2.570	2.570
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.015	0.015	0.015	0.013	0.015	0.015	0.015
!	!	!	!	!	!	0.138	!
!	3.070	3.070	3.070	3.070	3.070	3.070	3.070
!	56.9	50.6	45.4	40.1	32.8	30.7	30.7
!	3.811	3.811	3.811	3.811	3.811	3.811	3.811
!	!	!	!	!	!	!	!
!	5175	5175	5175	5175	4612	5287	5175
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.210	5.210	5.210	5.210	5.210	5.210	5.210
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.210	5.210	5.210	5.210	5.210	5.210	5.210
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	12.5	12.5	12.5	12.5	12.5	12.5	12.5
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
