!	0-60	61-64	65-69	70-73	74-79	80-86	87-108
!	!	!	!	!	!	!	!
!	1.00	1.00	1.00	1.16	0.12	!	0.12
!	!	0.4	0.4	!	!	!	!
!	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?
!	!	!	!	!	87	87	!
!	!	!	!	!	!	!	!
!	!	!	!	!	30	30	!
!	!	!	!	!	!	!	!
!	3410	3520	3520	3520	3651	3520	3520
!	!	!	!	!	!	!	3.1
!	!	!	!	!	!	!	!
!	0.012	0.012	0.012	0.012	0.012	0.012	0.012
!	!	!	!	!	!	!	!
!	1.670	1.670	1.670	1.670	1.670	1.670	1.670
!	2.3	!	2.3	2.3	2.3	2.3	2.3
!	0.243	0.243	0.243	0.243	0.243	0.243	0.243
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	0.006	0.006	0.006	0.006	0.006	0.006
!	!	!	!	!	!	!	!
!	0.360	0.360	0.360	0.360	0.360	0.360	0.305
!	74.8	72.7	70.6	68.5	63.2	56.9	52.7
!	1.060	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!
!	787	787	787	787	787	787	787
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.537	0.537	0.537	0.537	0.537	0.537	0.537
!	5.549	5.549	5.549	5.549	5.549	5.549	5.549
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	0.7	0.7	0.7	0.7	0.7	0.7	0.7
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.549	5.549	5.549	5.549	5.549	5.549	5.549
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!
