!	0-63	64-69	70-74	75-83	84-92	93-108
!	!	!	!	!	!	!
!	11.08	9.88	9.60	9.60	9.88	11.40
!	!	!	!	!	!	!
!	1	1	1	1	1	1
?	?	?	?	?	?	?
!	76	76	80	80	80	122
!	!	!	!	!	!	!
!	21	21	4	4	4	35
!	!	!	!	!	!	!
!	441	441	441	441	441	359
!	5.4	5.4	5.4	5.4	5.4	5.4
!	!	!	!	!	!	!
!	0.026	0.026	0.026	0.026	0.026	0.026
!	!	!	!	!	!	!
!	28.198	28.198	28.198	28.198	28.198	28.198
!	16.0	16.0	16.0	17.0	16.0	18.1
!	0.834	0.834	0.834	0.834	0.834	0.834
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	28.198	32.805	32.805	32.805	32.805	32.805
!	!	!	!	!	!	!
!	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!
!	3150	3150	3150	3150	3150	3150
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	1	1	1	!
